[2025-10-04 09:54:09] [LOGIN_SUCCESS] IP: ::1 | User: 2 | User type: student | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
[2025-10-04 09:55:02] [LOGIN_SUCCESS] IP: ::1 | User: 2 | User type: student | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
[2025-10-04 10:00:03] [LOGIN_SUCCESS] IP: ::1 | User: 2 | User type: student | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
[2025-10-04 10:06:46] [LOGIN_SUCCESS] IP: ::1 | User: 2 | User type: student | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
[2025-10-04 10:12:36] [LOGIN_SUCCESS] IP: ::1 | User: 2 | User type: student | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
[2025-10-04 10:23:49] [LOGIN_SUCCESS] IP: ::1 | User: 2 | User type: student | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
[2025-10-04 11:29:56] [LOGIN_SUCCESS] IP: ::1 | User: 2 | User type: student | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
[2025-10-04 11:31:58] [LOGIN_SUCCESS] IP: ::1 | User: 2 | User type: student | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
[2025-10-04 11:52:02] [LOGIN_SUCCESS] IP: ::1 | User: 2 | User type: student | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
[2025-10-04 11:56:25] [LOGIN_SUCCESS] IP: ::1 | User: 3 | User type: student | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
[2025-10-04 11:57:27] [LOGIN_SUCCESS] IP: ::1 | User: 3 | User type: student | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
[2025-10-04 12:04:56] [LOGIN_SUCCESS] IP: ::1 | User: 4 | User type: student | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
[2025-10-04 12:13:21] [LOGIN_SUCCESS] IP: ::1 | User: 4 | User type: student | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
[2025-10-04 12:17:31] [LOGIN_SUCCESS] IP: ::1 | User: 4 | User type: student | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
[2025-10-04 12:25:42] [LOGIN_SUCCESS] IP: ::1 | User: 4 | User type: student | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
[2025-10-04 12:26:05] [LOGIN_SUCCESS] IP: ::1 | User: 4 | User type: student | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
